orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain
SC1212	Human coronavirus 229E		KY369911	27226	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC1212__KY369911
SC2282	Human coronavirus 229E		KY684760	27249	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC2282__KY684760
SC2872	Human coronavirus 229E		KY967357	27242	2015-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC2872__KY967357
SC3112	Human coronavirus 229E		KY983587	27235	2015-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC3112__KY983587
SC379	Human coronavirus 229E		KY621348	27144	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC379__KY621348
SC399	Human coronavirus 229E		KY674914	27055	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC399__KY674914
SC579	Human coronavirus 229E		KY369908	27193	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC579__KY369908
SC677	Human coronavirus 229E		KY369909	26592	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC677__KY369909
SC9724	Human coronavirus 229E		MN369046	27075	2018-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC9724__MN369046
SC9731	Human coronavirus 229E		KY369912	27208	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC9731__KY369912
SC9773	Human coronavirus 229E		KY369914	27231	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	SC9773__KY369914
