orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain
MA-15	Severe acute respiratory syndrome-related coronavirus		DQ497008	29727	20XX-XX-XX			Mouse	NA	NA	NA	genomic RNA	MA-15__DQ497008
Modified Microbial Nucleic Acid	Severe acute respiratory syndrome-related coronavirus		FV537210	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Modified Microbial Nucleic Acid__FV537210
Modified Microbial Nucleic Acid	Severe acute respiratory syndrome-related coronavirus		FV537211	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Modified Microbial Nucleic Acid__FV537211
Modified Microbial Nucleic Acid	Severe acute respiratory syndrome-related coronavirus		FV537212	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Modified Microbial Nucleic Acid__FV537212
Sequence 1 from Patent WO2004096842	Severe acute respiratory syndrome-related coronavirus		CQ918584	29736	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Sequence 1 from Patent WO2004096842__CQ918584
Sequence 1 from Patent WO2006039656	Severe acute respiratory syndrome-related coronavirus		CS569493	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Sequence 1 from Patent WO2006039656__CS569493
Sequence 11 from Patent EP1736539	Severe acute respiratory syndrome-related coronavirus		CS460762	37971	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Sequence 11 from Patent EP1736539__CS460762
Sequence 11 from Patent WO2006136448	Severe acute respiratory syndrome-related coronavirus		CS480537	37971	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Sequence 11 from Patent WO2006136448__CS480537
Sequence 14 from Patent WO2005035556	Severe acute respiratory syndrome-related coronavirus		CS079026	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Sequence 14 from Patent WO2005035556__CS079026
Sequence 15 from Patent WO2004096842	Severe acute respiratory syndrome-related coronavirus		CQ918598	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Sequence 15 from Patent WO2004096842__CQ918598
Sequence 2 from Patent WO2004096842	Severe acute respiratory syndrome-related coronavirus		CQ918585	29736	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Sequence 2 from Patent WO2004096842__CQ918585
Sequence 41 from Patent EP2139515	Severe acute respiratory syndrome-related coronavirus		HI553383	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Sequence 41 from Patent EP2139515__HI553383
Sequence 67 from Patent WO2004011647	Severe acute respiratory syndrome-related coronavirus		CS254197	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	Sequence 67 from Patent WO2004011647__CS254197
UNKNOWN-DJ045279	Severe acute respiratory syndrome-related coronavirus		DJ045279	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-DJ045279__DJ045279
A022	Severe acute respiratory syndrome-related coronavirus		AY686863	29499	2004-XX-XX			Civet	NA	NA	NA	genomic RNA	A022__AY686863
AS	Severe acute respiratory syndrome-related coronavirus		AY427439	29711	2003-XX-XX			Human	NA	NA	NA	genomic RNA	AS__AY427439
B039	Severe acute respiratory syndrome-related coronavirus		AY686864	29525	2004-XX-XX			Civet	palm civet	NA	NA	genomic RNA	B039__AY686864
BJ01	Severe acute respiratory syndrome-related coronavirus		AY278488	29725	2003-XX-XX			Human	NA	NA	NA	genomic RNA	BJ01__AY278488
BJ02	Severe acute respiratory syndrome-related coronavirus		AY278487	29745	2003-XX-XX			Human	NA	NA	NA	genomic RNA	BJ02__AY278487
BJ03	Severe acute respiratory syndrome-related coronavirus		AY278490	29740	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	BJ03__AY278490
BJ04	Severe acute respiratory syndrome-related coronavirus		AY279354	29732	2003-XX-XX			Human	NA	NA	NA	genomic RNA	BJ04__AY279354
BJ162	Severe acute respiratory syndrome-related coronavirus		AY864805	29751	20XX-XX-XX			NA	NA	China	china	genomic RNA	BJ162__AY864805
BJ182-12	Severe acute respiratory syndrome-related coronavirus		EU371564	29512	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	BJ182-12__EU371564
BJ182-4	Severe acute respiratory syndrome-related coronavirus		EU371562	29602	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	BJ182-4__EU371562
BJ182-8	Severe acute respiratory syndrome-related coronavirus		EU371563	29602	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	BJ182-8__EU371563
BJ182a	Severe acute respiratory syndrome-related coronavirus		EU371560	29731	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	BJ182a__EU371560
BJ182b	Severe acute respiratory syndrome-related coronavirus		EU371561	29602	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	BJ182b__EU371561
BJ202	Severe acute respiratory syndrome-related coronavirus		AY864806	29751	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	BJ202__AY864806
CDC#200301157	Severe acute respiratory syndrome-related coronavirus		AY714217	29727	2003-XX-XX			Human	NA	USA	north_america	genomic RNA	CDC#200301157__AY714217
civet010	Severe acute respiratory syndrome-related coronavirus		AY572035	29518	2004-XX-XX			Civet	civet	China	china	genomic RNA	civet010__AY572035
civet020	Severe acute respiratory syndrome-related coronavirus		AY572038	29683	2004-XX-XX			Civet	civet	China	china	genomic RNA	civet020__AY572038
CUHK-AG01	Severe acute respiratory syndrome-related coronavirus		AY345986	29736	2003-XX-XX			Human	NA	NA	NA	genomic RNA	CUHK-AG01__AY345986
CUHK-AG02	Severe acute respiratory syndrome-related coronavirus		AY345987	29736	2003-XX-XX			Human	NA	NA	NA	genomic RNA	CUHK-AG02__AY345987
CUHK-AG03	Severe acute respiratory syndrome-related coronavirus		AY345988	29736	2003-XX-XX			Human	NA	NA	NA	genomic RNA	CUHK-AG03__AY345988
CUHK-Su10	Severe acute respiratory syndrome-related coronavirus		AY282752	29736	2003-XX-XX			Human	NA	NA	NA	genomic RNA	CUHK-Su10__AY282752
CUHK-W1	Severe acute respiratory syndrome-related coronavirus		AY278554	29736	2003-XX-XX			Human	NA	China	china	genomic RNA	CUHK-W1__AY278554
FRA	Severe acute respiratory syndrome-related coronavirus		AY310120	29740	2003-XX-XX			Human	NA	NA	NA	genomic RNA	FRA__AY310120
Frankfurt 1	Severe acute respiratory syndrome-related coronavirus		AB257344	29632	2003-XX-XX			NA	NA	NA	NA	genomic RNA	Frankfurt 1__AB257344
Frankfurt 1	Severe acute respiratory syndrome-related coronavirus		AY291315	29727	2003-XX-XX			Human	NA	NA	NA	genomic RNA	Frankfurt 1__AY291315
GD01	Severe acute respiratory syndrome-related coronavirus		AY278489	29757	2003-XX-XX			Human	NA	NA	NA	genomic RNA	GD01__AY278489
GD69	Severe acute respiratory syndrome-related coronavirus		AY313906	29754	2003-XX-XX			Human	NA	China	china	genomic RNA	GD69__AY313906
GDH-BJH01	Severe acute respiratory syndrome-related coronavirus		DQ640652	29746	20XX-XX-XX			Human	Homo sapiens	China	china	genomic RNA	GDH-BJH01__DQ640652
GZ-B	Severe acute respiratory syndrome-related coronavirus		AY394978	29640	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	GZ-B__AY394978
GZ-C	Severe acute respiratory syndrome-related coronavirus		AY394979	29645	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	GZ-C__AY394979
GZ02	Severe acute respiratory syndrome-related coronavirus		AY390556	29760	2003-XX-XX			Human	NA	China	china	genomic RNA	GZ02__AY390556
GZ0401	Severe acute respiratory syndrome-related coronavirus		AY568539	29730	2004-XX-XX			Human	NA	China	china	genomic RNA	GZ0401__AY568539
GZ0402	Severe acute respiratory syndrome-related coronavirus		AY613947	29730	2004-XX-XX			Human	NA	China	china	genomic RNA	GZ0402__AY613947
GZ50	Severe acute respiratory syndrome-related coronavirus		AY304495	29720	2003-XX-XX			Human	NA	Hong_Kong	china	genomic RNA	GZ50__AY304495
HC/SZ/61/03	Severe acute respiratory syndrome-related coronavirus		AY515512	29731	20XX-XX-XX			Civet	Paguma larvata (Himalayan palm civets)	China	china	genomic RNA	HC/SZ/61/03__AY515512
HGZ8L2	Severe acute respiratory syndrome-related coronavirus		AY394993	29736	2003-XX-XX			Human	NA	NA	NA	genomic RNA	HGZ8L2__AY394993
HKU-39849	Severe acute respiratory syndrome-related coronavirus		AY278491	29742	2003-XX-XX			Human	NA	NA	NA	genomic RNA	HKU-39849__AY278491
HSR 1	Severe acute respiratory syndrome-related coronavirus		AY323977	29751	20XX-XX-XX			Human	NA	Italy	europe	genomic RNA	HSR 1__AY323977
HSZ-Bb	Severe acute respiratory syndrome-related coronavirus		AY394985	29530	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HSZ-Bb__AY394985
HSZ-Bc	Severe acute respiratory syndrome-related coronavirus		AY394994	29765	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HSZ-Bc__AY394994
HSZ-Cb	Severe acute respiratory syndrome-related coronavirus		AY394986	29729	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HSZ-Cb__AY394986
HSZ-Cc	Severe acute respiratory syndrome-related coronavirus		AY394995	29765	2003-XX-XX			Human	NA	NA	NA	genomic RNA	HSZ-Cc__AY394995
HSZ2-A	Severe acute respiratory syndrome-related coronavirus		AY394983	29699	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HSZ2-A__AY394983
HZS2-C	Severe acute respiratory syndrome-related coronavirus		AY394992	29736	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HZS2-C__AY394992
HZS2-D	Severe acute respiratory syndrome-related coronavirus		AY394989	29736	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HZS2-D__AY394989
HZS2-E	Severe acute respiratory syndrome-related coronavirus		AY394990	29736	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HZS2-E__AY394990
HZS2-Fb	Severe acute respiratory syndrome-related coronavirus		AY394987	29709	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HZS2-Fb__AY394987
HZS2-Fc	Severe acute respiratory syndrome-related coronavirus		AY394991	29736	2003-XX-XX			Human	NA	NA	NA	genomic RNA	HZS2-Fc__AY394991
LC1	Severe acute respiratory syndrome-related coronavirus		AY394998	29736	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	LC1__AY394998
LC2	Severe acute respiratory syndrome-related coronavirus		AY394999	29350	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	LC2__AY394999
LC3	Severe acute respiratory syndrome-related coronavirus		AY395000	29350	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	LC3__AY395000
LC4	Severe acute respiratory syndrome-related coronavirus		AY395001	29350	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	LC4__AY395001
LC5	Severe acute respiratory syndrome-related coronavirus		AY395002	29350	2003-XX-XX			Human	NA	NA	NA	genomic RNA	LC5__AY395002
LLJ-2004	Severe acute respiratory syndrome-related coronavirus		AY595412	29716	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	LLJ-2004__AY595412
NS-1	Severe acute respiratory syndrome-related coronavirus		AY508724	29732	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	NS-1__AY508724
P2	Severe acute respiratory syndrome-related coronavirus		FJ882963	29682	2004-08-10			Human	Homo sapiens	USA	north_america	genomic RNA	P2__FJ882963
PC4-13	Severe acute respiratory syndrome-related coronavirus		AY613948	29730	2004-XX-XX			Civet	palm civet	China	china	genomic RNA	PC4-13__AY613948
PC4-136	Severe acute respiratory syndrome-related coronavirus		AY613949	29730	2004-XX-XX			Civet	palm civet	China	china	genomic RNA	PC4-136__AY613949
PC4-227	Severe acute respiratory syndrome-related coronavirus		AY613950	29728	2004-XX-XX			Civet	palm civet	China	china	genomic RNA	PC4-227__AY613950
PUMC01	Severe acute respiratory syndrome-related coronavirus		AY350750	29738	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	PUMC01__AY350750
PUMC02	Severe acute respiratory syndrome-related coronavirus		AY357075	29738	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	PUMC02__AY357075
PUMC03	Severe acute respiratory syndrome-related coronavirus		AY357076	29745	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	PUMC03__AY357076
ShanghaiQXC1	Severe acute respiratory syndrome-related coronavirus		AY463059	29592	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	ShanghaiQXC1__AY463059
ShanghaiQXC2	Severe acute respiratory syndrome-related coronavirus		AY463060	29013	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	ShanghaiQXC2__AY463060
SIN2500	Severe acute respiratory syndrome-related coronavirus		AY283794	29711	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SIN2500__AY283794
SIN2677	Severe acute respiratory syndrome-related coronavirus		AY283795	29705	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SIN2677__AY283795
SIN2679	Severe acute respiratory syndrome-related coronavirus		AY283796	29711	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SIN2679__AY283796
SIN2748	Severe acute respiratory syndrome-related coronavirus		AY283797	29706	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SIN2748__AY283797
SIN2774	Severe acute respiratory syndrome-related coronavirus		AY283798	29711	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SIN2774__AY283798
Sin3408	Severe acute respiratory syndrome-related coronavirus		AY559083	29767	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	Sin3408__AY559083
Sin3408L	Severe acute respiratory syndrome-related coronavirus		AY559097	29715	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	Sin3408L__AY559097
Sin3725V	Severe acute respiratory syndrome-related coronavirus		AY559087	29716	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	Sin3725V__AY559087
Sin3765V	Severe acute respiratory syndrome-related coronavirus		AY559084	29722	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	Sin3765V__AY559084
Sin842	Severe acute respiratory syndrome-related coronavirus		AY559081	29716	2003-XX-XX			Human	NA	Singapore	southeast_asia	genomic RNA	Sin842__AY559081
Sin845	Severe acute respiratory syndrome-related coronavirus		AY559093	29712	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	Sin845__AY559093
Sin846	Severe acute respiratory syndrome-related coronavirus		AY559094	29577	2003-XX-XX			Human	NA	Singapore	southeast_asia	genomic RNA	Sin846__AY559094
Sin847	Severe acute respiratory syndrome-related coronavirus		AY559095	29719	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	Sin847__AY559095
Sin848	Severe acute respiratory syndrome-related coronavirus		AY559085	29713	2003-XX-XX			Human	NA	Singapore	southeast_asia	genomic RNA	Sin848__AY559085
Sin849	Severe acute respiratory syndrome-related coronavirus		AY559086	29661	2003-XX-XX			Human	NA	Singapore	southeast_asia	genomic RNA	Sin849__AY559086
Sin850	Severe acute respiratory syndrome-related coronavirus		AY559096	29720	2003-XX-XX			Human	NA	Singapore	southeast_asia	genomic RNA	Sin850__AY559096
Sin852	Severe acute respiratory syndrome-related coronavirus		AY559082	29670	2003-XX-XX			Human	NA	Singapore	southeast_asia	genomic RNA	Sin852__AY559082
Sino1-11	Severe acute respiratory syndrome-related coronavirus		AY485277	29741	20XX-XX-XX			Human	NA	NA	NA	genomic RNA	Sino1-11__AY485277
Sino3-11	Severe acute respiratory syndrome-related coronavirus		AY485278	29740	20XX-XX-XX			Human	NA	NA	NA	genomic RNA	Sino3-11__AY485278
SinP1	Severe acute respiratory syndrome-related coronavirus		AY559088	29714	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SinP1__AY559088
SinP2	Severe acute respiratory syndrome-related coronavirus		AY559089	29717	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SinP2__AY559089
SinP3	Severe acute respiratory syndrome-related coronavirus		AY559090	29725	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SinP3__AY559090
SinP4	Severe acute respiratory syndrome-related coronavirus		AY559091	29710	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SinP4__AY559091
SinP5	Severe acute respiratory syndrome-related coronavirus		AY559092	29713	20XX-XX-XX			NA	NA	Singapore	southeast_asia	genomic RNA	SinP5__AY559092
SoD	Severe acute respiratory syndrome-related coronavirus		AY461660	29715	20XX-XX-XX			Human	NA	Russia	west_asia	genomic RNA	SoD__AY461660
TJF	Severe acute respiratory syndrome-related coronavirus		AY654624	29745	20XX-XX-XX			Swine	NA	NA	NA	genomic RNA	TJF__AY654624
TW1	Severe acute respiratory syndrome-related coronavirus		AY291451	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW1__AY291451
TW10	Severe acute respiratory syndrome-related coronavirus		AY502923	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW10__AY502923
TW11	Severe acute respiratory syndrome-related coronavirus		AY502924	29727	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW11__AY502924
TW2	Severe acute respiratory syndrome-related coronavirus		AY502925	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW2__AY502925
TW3	Severe acute respiratory syndrome-related coronavirus		AY502926	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW3__AY502926
TW4	Severe acute respiratory syndrome-related coronavirus		AY502927	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW4__AY502927
TW5	Severe acute respiratory syndrome-related coronavirus		AY502928	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW5__AY502928
TW6	Severe acute respiratory syndrome-related coronavirus		AY502929	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW6__AY502929
TW7	Severe acute respiratory syndrome-related coronavirus		AY502930	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW7__AY502930
TW8	Severe acute respiratory syndrome-related coronavirus		AY502931	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW8__AY502931
TW9	Severe acute respiratory syndrome-related coronavirus		AY502932	29729	2003-XX-XX			Human	NA	Taiwan	china	genomic RNA	TW9__AY502932
TWC	Severe acute respiratory syndrome-related coronavirus		AY321118	29725	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	TWC__AY321118
TWC2	Severe acute respiratory syndrome-related coronavirus		AY362698	29727	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	TWC2__AY362698
TWC3	Severe acute respiratory syndrome-related coronavirus		AY362699	29727	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	TWC3__AY362699
TWH	Severe acute respiratory syndrome-related coronavirus		AP006557	29727	20XX-XX-XX			Human	NA	NA	NA	genomic RNA	TWH__AP006557
TWJ	Severe acute respiratory syndrome-related coronavirus		AP006558	29725	20XX-XX-XX			Human	NA	NA	NA	genomic RNA	TWJ__AP006558
TWK	Severe acute respiratory syndrome-related coronavirus		AP006559	29727	20XX-XX-XX			Human	NA	NA	NA	genomic RNA	TWK__AP006559
TWS	Severe acute respiratory syndrome-related coronavirus		AP006560	29727	20XX-XX-XX			Human	NA	NA	NA	genomic RNA	TWS__AP006560
TWY	Severe acute respiratory syndrome-related coronavirus		AP006561	29727	20XX-XX-XX			Human	NA	NA	NA	genomic RNA	TWY__AP006561
WH20	Severe acute respiratory syndrome-related coronavirus		AY772062	29461	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	WH20__AY772062
WHU	Severe acute respiratory syndrome-related coronavirus		AY394850	29728	2003-XX-XX			Human	NA	NA	NA	genomic RNA	WHU__AY394850
ZJ01	Severe acute respiratory syndrome-related coronavirus		AY297028	29715	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	ZJ01__AY297028
ZJ02	Severe acute respiratory syndrome-related coronavirus		EU371559	29731	2003-XX-XX			NA	NA	NA	NA	genomic RNA	ZJ02__EU371559
ZJ0301	Severe acute respiratory syndrome-related coronavirus		DQ182595	29706	2003-04-21			Human	NA	China	china	genomic RNA	ZJ0301__DQ182595
ZMY 1	Severe acute respiratory syndrome-related coronavirus		AY351680	29749	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	ZMY 1__AY351680
ZS-A	Severe acute respiratory syndrome-related coronavirus		AY394997	29683	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	ZS-A__AY394997
ZS-B	Severe acute respiratory syndrome-related coronavirus		AY394996	29683	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	ZS-B__AY394996
ZS-C	Severe acute respiratory syndrome-related coronavirus		AY395003	29647	2003-XX-XX			Human	NA	NA	NA	genomic RNA	ZS-C__AY395003
As6526	Severe acute respiratory syndrome-related coronavirus		KY417142	29725	2014-05-12			Bat	Aselliscus stoliczkanus	China	china	genomic RNA	As6526__KY417142
bat-SL-CoVZC45	Severe acute respiratory syndrome-related coronavirus		MG772933	29802	2017-02-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	bat-SL-CoVZC45__MG772933
bat-SL-CoVZXC21	Severe acute respiratory syndrome-related coronavirus		MG772934	29732	2015-07-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	bat-SL-CoVZXC21__MG772934
Rf4092	Severe acute respiratory syndrome-related coronavirus		KY417145	29710	2012-09-18			Bat	Rhinilophus ferrumequinum	China	china	genomic RNA	Rf4092__KY417145
Rs4081	Severe acute respiratory syndrome-related coronavirus		KY417143	29741	2012-09-18			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs4081__KY417143
Rs4084	Severe acute respiratory syndrome-related coronavirus		KY417144	29770	2012-09-18			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs4084__KY417144
Rs4231	Severe acute respiratory syndrome-related coronavirus		KY417146	29782	2013-04-17			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs4231__KY417146
