orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain	url	authors	title	date_added
HCoV NL63/Haiti-1/2015	Human coronavirus NL63		KT266906	27553	2015-01-16			Human	Homo sapiens	Haiti	north_america	genomic RNA	HCoVNL63/Haiti-1/2015__KT266906	https://www.ncbi.nlm.nih.gov/nuccore/KT266906	Beau De Rochars,V.M., Lednicky,J., White,S., Loeb,J., Elbadry,M.A., Telisma,T., Chavannes,S., Anilis,M.G., Cella,E., Ciccozzi,M., Okech,B.A., Salemi,M. and Morris,J.G. Jr.	Isolation of Coronavirus NL63 from Blood from Children in Rural Haiti: Phylogenetic Similarities with Recent Isolates from Malaysia	2020-01-27
Kilifi_HH_0511_01-Jun-2010	Human coronavirus NL63		MG428703	27685	2010-06-01			Human	Homo sapiens	Kenya	africa	genomic RNA	Kilifi_HH_0511_01-Jun-2010__MG428703	https://www.ncbi.nlm.nih.gov/nuccore/MG428703	Kiyuka,P.K., Agoti,C.N., Munywoki,P.K., Njeru,R., Bett,A., Otieno,J.R., Otieno,G.P., Kamau,E., Clark,T.G., van der Hoek,L., Kellam,P., Nokes,D.J. and Cotten,M.	Human Coronavirus NL63 Molecular Epidemiology and Evolutionary Patterns in Rural Coastal Kenya	2020-01-27
Kilifi_HH_0512_04-Jun-2010	Human coronavirus NL63		MG428701	27623	2010-06-04			Human	Homo sapiens	Kenya	africa	genomic RNA	Kilifi_HH_0512_04-Jun-2010__MG428701	https://www.ncbi.nlm.nih.gov/nuccore/MG428701	Kiyuka,P.K., Agoti,C.N., Munywoki,P.K., Njeru,R., Bett,A., Otieno,J.R., Otieno,G.P., Kamau,E., Clark,T.G., van der Hoek,L., Kellam,P., Nokes,D.J. and Cotten,M.	Human Coronavirus NL63 Molecular Epidemiology and Evolutionary Patterns in Rural Coastal Kenya	2020-01-27
Kilifi_HH_0522_21-May-2010	Human coronavirus NL63		MG428705	27587	2010-05-21			Human	Homo sapiens	Kenya	africa	genomic RNA	Kilifi_HH_0522_21-May-2010__MG428705	https://www.ncbi.nlm.nih.gov/nuccore/MG428705	Kiyuka,P.K., Agoti,C.N., Munywoki,P.K., Njeru,R., Bett,A., Otieno,J.R., Otieno,G.P., Kamau,E., Clark,T.G., van der Hoek,L., Kellam,P., Nokes,D.J. and Cotten,M.	Human Coronavirus NL63 Molecular Epidemiology and Evolutionary Patterns in Rural Coastal Kenya	2020-01-27
Kilifi_HH_3807_11-May-2010	Human coronavirus NL63		MG428702	27781	2010-05-11			Human	Homo sapiens	Kenya	africa	genomic RNA	Kilifi_HH_3807_11-May-2010__MG428702	https://www.ncbi.nlm.nih.gov/nuccore/MG428702	Kiyuka,P.K., Agoti,C.N., Munywoki,P.K., Njeru,R., Bett,A., Otieno,J.R., Otieno,G.P., Kamau,E., Clark,T.G., van der Hoek,L., Kellam,P., Nokes,D.J. and Cotten,M.	Human Coronavirus NL63 Molecular Epidemiology and Evolutionary Patterns in Rural Coastal Kenya	2020-01-27
Kilifi_HH_3808_24-May-2010	Human coronavirus NL63		MG428706	27637	2010-05-24			Human	Homo sapiens	Kenya	africa	genomic RNA	Kilifi_HH_3808_24-May-2010__MG428706	https://www.ncbi.nlm.nih.gov/nuccore/MG428706	Kiyuka,P.K., Agoti,C.N., Munywoki,P.K., Njeru,R., Bett,A., Otieno,J.R., Otieno,G.P., Kamau,E., Clark,T.G., van der Hoek,L., Kellam,P., Nokes,D.J. and Cotten,M.	Human Coronavirus NL63 Molecular Epidemiology and Evolutionary Patterns in Rural Coastal Kenya	2020-01-27
Kilifi_HH_5402_20-May-2010	Human coronavirus NL63		MG428704	27832	2010-05-20			Human	Homo sapiens	Kenya	africa	genomic RNA	Kilifi_HH_5402_20-May-2010__MG428704	https://www.ncbi.nlm.nih.gov/nuccore/MG428704	Kiyuka,P.K., Agoti,C.N., Munywoki,P.K., Njeru,R., Bett,A., Otieno,J.R., Otieno,G.P., Kamau,E., Clark,T.G., van der Hoek,L., Kellam,P., Nokes,D.J. and Cotten,M.	Human Coronavirus NL63 Molecular Epidemiology and Evolutionary Patterns in Rural Coastal Kenya	2020-01-27
Kilifi_HH_5709_19-May-2010	Human coronavirus NL63		MG428699	27513	2010-05-19			Human	Homo sapiens	Kenya	africa	genomic RNA	Kilifi_HH_5709_19-May-2010__MG428699	https://www.ncbi.nlm.nih.gov/nuccore/MG428699	Kiyuka,P.K., Agoti,C.N., Munywoki,P.K., Njeru,R., Bett,A., Otieno,J.R., Otieno,G.P., Kamau,E., Clark,T.G., van der Hoek,L., Kellam,P., Nokes,D.J. and Cotten,M.	Human Coronavirus NL63 Molecular Epidemiology and Evolutionary Patterns in Rural Coastal Kenya	2020-01-27
N06-1144B	Human coronavirus NL63		KY554967	27523	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	N06-1144B__KY554967	https://www.ncbi.nlm.nih.gov/nuccore/KY554967	Greninger,A.L., Ogimi,C., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	2020-01-27
N07-185B	Human coronavirus NL63		KY554968	27523	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	N07-185B__KY554968	https://www.ncbi.nlm.nih.gov/nuccore/KY554968	Greninger,A.L., Ogimi,C., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	2020-01-27
N07-196B	Human coronavirus NL63		KY554969	27509	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	N07-196B__KY554969	https://www.ncbi.nlm.nih.gov/nuccore/KY554969	Greninger,A.L., Ogimi,C., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	2020-01-27
N07-262B	Human coronavirus NL63		KY829118	27513	2015-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	N07-262B__KY829118	https://www.ncbi.nlm.nih.gov/nuccore/KY829118	Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	2020-01-27
N07-324B_182X	Human coronavirus NL63		KY554970	27540	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	N07-324B_182X__KY554970	https://www.ncbi.nlm.nih.gov/nuccore/KY554970	Greninger,A.L., Ogimi,C., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	2020-01-27
N07-468B_176X	Human coronavirus NL63		KY554971	27550	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	N07-468B_176X__KY554971	https://www.ncbi.nlm.nih.gov/nuccore/KY554971	Greninger,A.L., Ogimi,C., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	2020-01-27
N07-64B	Human coronavirus NL63		KY674916	27492	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	N07-64B__KY674916	https://www.ncbi.nlm.nih.gov/nuccore/KY674916	Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	2020-01-27
N07-6B	Human coronavirus NL63		KY674915	27302	2016-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	N07-6B__KY674915	https://www.ncbi.nlm.nih.gov/nuccore/KY674915	Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C. and Jerome,K.R.	Genome sequences of viral positives at UW Virology	2020-01-27
NL63/DEN/2005/1062	Human coronavirus NL63		JQ765573	27487	2005-04-12			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2005/1062__JQ765573	https://www.ncbi.nlm.nih.gov/nuccore/JQ765573	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2005/1862	Human coronavirus NL63		JQ765574	27487	2005-11-XX			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2005/1862__JQ765574	https://www.ncbi.nlm.nih.gov/nuccore/JQ765574	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2005/1876	Human coronavirus NL63		JQ765575	27487	2005-11-21			Human	Homo sapiens; sex: F	USA	north_america	genomic RNA	NL63/DEN/2005/1876__JQ765575	https://www.ncbi.nlm.nih.gov/nuccore/JQ765575	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2005/193	Human coronavirus NL63		JQ765568	27487	2005-01-11			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2005/193__JQ765568	https://www.ncbi.nlm.nih.gov/nuccore/JQ765568	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2005/232	Human coronavirus NL63		JQ765569	27469	2005-01-18			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2005/232__JQ765569	https://www.ncbi.nlm.nih.gov/nuccore/JQ765569	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2005/235	Human coronavirus NL63		JQ765570	27469	2005-01-19			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2005/235__JQ765570	https://www.ncbi.nlm.nih.gov/nuccore/JQ765570	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2005/271	Human coronavirus NL63		JQ765571	27487	2005-01-23			Human	Homo sapiens; sex: F	USA	north_america	genomic RNA	NL63/DEN/2005/271__JQ765571	https://www.ncbi.nlm.nih.gov/nuccore/JQ765571	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2005/347	Human coronavirus NL63		JQ765572	27487	2005-02-01			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2005/347__JQ765572	https://www.ncbi.nlm.nih.gov/nuccore/JQ765572	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2005/449	Human coronavirus NL63		JQ900259	27502	2005-02-09			Human	Homo sapiens; sex: F	USA	north_america	genomic RNA	NL63/DEN/2005/449__JQ900259	https://www.ncbi.nlm.nih.gov/nuccore/JQ900259	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2008/16	Human coronavirus NL63		JQ765566	27487	2008-01-08			Human	Homo sapiens; sex: F	USA	north_america	genomic RNA	NL63/DEN/2008/16__JQ765566	https://www.ncbi.nlm.nih.gov/nuccore/JQ765566	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2009/14	Human coronavirus NL63		JQ765564	27469	2009-03-01			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2009/14__JQ765564	https://www.ncbi.nlm.nih.gov/nuccore/JQ765564	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2009/15	Human coronavirus NL63		JQ765565	27469	2009-02-13			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2009/15__JQ765565	https://www.ncbi.nlm.nih.gov/nuccore/JQ765565	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2009/20	Human coronavirus NL63		JQ765567	27487	2009-03-12			Human	Homo sapiens; sex: F	USA	north_america	genomic RNA	NL63/DEN/2009/20__JQ765567	https://www.ncbi.nlm.nih.gov/nuccore/JQ765567	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2009/22	Human coronavirus NL63		JQ900256	27455	2009-03-03			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2009/22__JQ900256	https://www.ncbi.nlm.nih.gov/nuccore/JQ900256	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2009/31	Human coronavirus NL63		JQ900257	27456	2009-02-21			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2009/31__JQ900257	https://www.ncbi.nlm.nih.gov/nuccore/JQ900257	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2009/6	Human coronavirus NL63		JQ900255	27485	2009-02-25			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2009/6__JQ900255	https://www.ncbi.nlm.nih.gov/nuccore/JQ900255	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/DEN/2009/9	Human coronavirus NL63		JQ765563	27469	2009-03-16			Human	Homo sapiens; sex: M	USA	north_america	genomic RNA	NL63/DEN/2009/9__JQ765563	https://www.ncbi.nlm.nih.gov/nuccore/JQ765563	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	2020-01-27
NL63/human/USA/0111-25/2001	Human coronavirus NL63		KF530112	27395	2001-11-21	8.0		Human	Homo sapiens; sex: M; age: 8Y	USA	north_america	genomic RNA	NL63/human/USA/0111-25/2001__KF530112	https://www.ncbi.nlm.nih.gov/nuccore/KF530112	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/012-31/2001	Human coronavirus NL63		KF530105	27413	2001-02-23	13.0		Human	Homo sapiens; sex: F; age: 13Y	USA	north_america	genomic RNA	NL63/human/USA/012-31/2001__KF530105	https://www.ncbi.nlm.nih.gov/nuccore/KF530105	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/838-9/1983	Human coronavirus NL63		KF530110	27413	1983-08-16	6.0		Human	Homo sapiens; sex: F; age: 6Y	USA	north_america	genomic RNA	NL63/human/USA/838-9/1983__KF530110	https://www.ncbi.nlm.nih.gov/nuccore/KF530110	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/8712-17/1987	Human coronavirus NL63		KF530106	27401	1987-12-16	35.0		Human	Homo sapiens; sex: M; age: 35Y	USA	north_america	genomic RNA	NL63/human/USA/8712-17/1987__KF530106	https://www.ncbi.nlm.nih.gov/nuccore/KF530106	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/891-4/1989	Human coronavirus NL63		KF530114	27410	1989-01-03	15.0		Human	Homo sapiens; sex: F; age: 15Y	USA	north_america	genomic RNA	NL63/human/USA/891-4/1989__KF530114	https://www.ncbi.nlm.nih.gov/nuccore/KF530114	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/891-6/1989	Human coronavirus NL63		KF530108	27410	1989-01-05	6.0		Human	Homo sapiens; sex: F; age: 6Y	USA	north_america	genomic RNA	NL63/human/USA/891-6/1989__KF530108	https://www.ncbi.nlm.nih.gov/nuccore/KF530108	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/901-24/1990	Human coronavirus NL63		KF530111	27410	1990-01-05	9.0		Human	Homo sapiens; sex: M; age: 9Y	USA	north_america	genomic RNA	NL63/human/USA/901-24/1990__KF530111	https://www.ncbi.nlm.nih.gov/nuccore/KF530111	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/903-28/1990	Human coronavirus NL63		KF530109	27410	1990-03-21	5.0		Human	Homo sapiens; sex: M; age: 5Y	USA	north_america	genomic RNA	NL63/human/USA/903-28/1990__KF530109	https://www.ncbi.nlm.nih.gov/nuccore/KF530109	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/904-20/1990	Human coronavirus NL63		KF530104	27410	1990-04-26	5.0		Human	Homo sapiens; sex: M; age: 5Y	USA	north_america	genomic RNA	NL63/human/USA/904-20/1990__KF530104	https://www.ncbi.nlm.nih.gov/nuccore/KF530104	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/905-25/1990	Human coronavirus NL63		KF530113	27410	1990-05-29	19.0		Human	Homo sapiens; sex: F; age: 19Y	USA	north_america	genomic RNA	NL63/human/USA/905-25/1990__KF530113	https://www.ncbi.nlm.nih.gov/nuccore/KF530113	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/human/USA/911-56/1991	Human coronavirus NL63		KF530107	27410	1991-01-24	9.0		Human	Homo sapiens; sex: F; age: 9Y	USA	north_america	genomic RNA	NL63/human/USA/911-56/1991__KF530107	https://www.ncbi.nlm.nih.gov/nuccore/KF530107	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	2020-01-27
NL63/RPTEC/2004	Human coronavirus NL63		JX504050	27553	2004-XX-XX			Human	Homo sapiens	USA	north_america	genomic RNA	NL63/RPTEC/2004__JX504050	https://www.ncbi.nlm.nih.gov/nuccore/JX504050	Lednicky,J.A., Waltzek,T.B., McGeehan,E., Loeb,J.C., Hamilton,S.B. and Luetke,M.C.	Isolation and genetic characterization of human coronavirus NL63 in primary human renal proximal tubular epithelial cells obtained from a commercial supplier, and confirmation of its replication in two different types of human primary kidney cells	2020-01-27
