orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain	url	authors	title	date_added
HC/GZ/32/03	Severe acute respiratory syndrome-related coronavirus		AY545918	29737	2003-XX-XX			Civet		China	china	genomic RNA	HC/GZ/32/03__AY545918	https://www.ncbi.nlm.nih.gov/nuccore/AY545918	Guan,Y.	An Averted SARS Outbreak?	2020-01-27
HC/GZ/81/03	Severe acute respiratory syndrome-related coronavirus		AY545917	29739	2003-XX-XX			Civet		China	china	genomic RNA	HC/GZ/81/03__AY545917	https://www.ncbi.nlm.nih.gov/nuccore/AY545917	Guan,Y.	An Averted SARS Outbreak?	2020-01-27
HC/SZ/266/03	Severe acute respiratory syndrome-related coronavirus		AY545916	29721	2003-XX-XX			Civet		China	china	genomic RNA	HC/SZ/266/03__AY545916	https://www.ncbi.nlm.nih.gov/nuccore/AY545916	Guan,Y.	An Averted SARS Outbreak?	2020-01-27
HC/SZ/79/03	Severe acute respiratory syndrome-related coronavirus		AY545914	29723	2003-XX-XX			Civet		China	china	genomic RNA	HC/SZ/79/03__AY545914	https://www.ncbi.nlm.nih.gov/nuccore/AY545914	Guan,Y.	An Averted SARS Outbreak?	2020-01-27
HC/SZ/DM1/03	Severe acute respiratory syndrome-related coronavirus		AY545915	29714	2003-XX-XX			Civet		China	china	genomic RNA	HC/SZ/DM1/03__AY545915	https://www.ncbi.nlm.nih.gov/nuccore/AY545915	Guan,Y.	An Averted SARS Outbreak?	2020-01-27
MA-15	Severe acute respiratory syndrome-related coronavirus		DQ497008	29727	20XX-XX-XX			Mouse				genomic RNA	MA-15__DQ497008	https://www.ncbi.nlm.nih.gov/nuccore/DQ497008	Roberts,A., Deming,D., Paddock,C.D., Cheng,A., Yount,B., Vogel,L., Herman,B.D., Sheahan,T., Heise,M., Genrich,G.L., Zaki,S.R., Baric,R. and Subbarao,K.	A mouse-adapted SARS-coronavirus causes disease and mortality in BALB/c mice	2020-01-27
Modified Microbial Nucleic Acid	Severe acute respiratory syndrome-related coronavirus		FV537210	29751	20XX-XX-XX							unassigned DNA	ModifiedMicrobialNucleicAcid__FV537210	https://www.ncbi.nlm.nih.gov/nuccore/FV537210	Millar,D.S. and Meruki,J.R.	Modified Microbial Nucleic Acid	2020-01-27
Modified Microbial Nucleic Acid	Severe acute respiratory syndrome-related coronavirus		FV537211	29751	20XX-XX-XX							unassigned DNA	ModifiedMicrobialNucleicAcid__FV537211	https://www.ncbi.nlm.nih.gov/nuccore/FV537211	Millar,D.S. and Meruki,J.R.	Modified Microbial Nucleic Acid	2020-01-27
Modified Microbial Nucleic Acid	Severe acute respiratory syndrome-related coronavirus		FV537212	29751	20XX-XX-XX							unassigned DNA	ModifiedMicrobialNucleicAcid__FV537212	https://www.ncbi.nlm.nih.gov/nuccore/FV537212	Millar,D.S. and Meruki,J.R.	Modified Microbial Nucleic Acid	2020-01-27
Sequence 1 from Patent WO2004096842	Severe acute respiratory syndrome-related coronavirus		CQ918584	29736	20XX-XX-XX							unassigned DNA	Sequence1fromPatentWO2004096842__CQ918584	https://www.ncbi.nlm.nih.gov/nuccore/CQ918584	Plummer,F., Feldmann,H., Jones,S., Li,Y., Bastien,N., Brunham,R., Brooks-Wilson,A., Holt,R., Upton,C., Roper,R., Astell,C. and Jones,S.	Sars virus nucleotide and amino acid sequences and uses thereof	2020-01-27
Sequence 1 from Patent WO2006039656	Severe acute respiratory syndrome-related coronavirus		CS569493	29751	20XX-XX-XX							unassigned DNA	Sequence1fromPatentWO2006039656__CS569493	https://www.ncbi.nlm.nih.gov/nuccore/CS569493	Han,J. and Houghton,M.	Modified small interfering rna molecules and methods of use	2020-01-27
Sequence 11 from Patent EP1736539	Severe acute respiratory syndrome-related coronavirus		CS460762	37971	20XX-XX-XX							unassigned DNA	Sequence11fromPatentEP1736539__CS460762	https://www.ncbi.nlm.nih.gov/nuccore/CS460762	Alvarez Gomez,E., Lopez de Diego,M., Enjuanes Sanches,L. and Almazan Toral,F.	Attenuated SARS-CoV vaccines	2020-01-27
Sequence 11 from Patent WO2006136448	Severe acute respiratory syndrome-related coronavirus		CS480537	37971	20XX-XX-XX							unassigned DNA	Sequence11fromPatentWO2006136448__CS480537	https://www.ncbi.nlm.nih.gov/nuccore/CS480537	enjuanes Sanches,L., lopez de Diego,M., alvarez Gomez,E. and almazan Toral,F.	Attenuated sars and use as a vaccine	2020-01-27
Sequence 14 from Patent WO2005035556	Severe acute respiratory syndrome-related coronavirus		CS079026	29751	20XX-XX-XX							unassigned DNA	Sequence14fromPatentWO2005035556__CS079026	https://www.ncbi.nlm.nih.gov/nuccore/CS079026	Herold,J.	Sars-coronavirus virus-like particles and methods of use	2020-01-27
Sequence 15 from Patent WO2004096842	Severe acute respiratory syndrome-related coronavirus		CQ918598	29751	20XX-XX-XX							unassigned DNA	Sequence15fromPatentWO2004096842__CQ918598	https://www.ncbi.nlm.nih.gov/nuccore/CQ918598	Plummer,F., Feldmann,H., Jones,S., Li,Y., Bastien,N., Brunham,R., Brooks-Wilson,A., Holt,R., Upton,C., Roper,R., Astell,C. and Jones,S.	Sars virus nucleotide and amino acid sequences and uses thereof	2020-01-27
Sequence 2 from Patent WO2004096842	Severe acute respiratory syndrome-related coronavirus		CQ918585	29736	20XX-XX-XX							unassigned DNA	Sequence2fromPatentWO2004096842__CQ918585	https://www.ncbi.nlm.nih.gov/nuccore/CQ918585	Plummer,F., Feldmann,H., Jones,S., Li,Y., Bastien,N., Brunham,R., Brooks-Wilson,A., Holt,R., Upton,C., Roper,R., Astell,C. and Jones,S.	Sars virus nucleotide and amino acid sequences and uses thereof	2020-01-27
Sequence 41 from Patent EP2139515	Severe acute respiratory syndrome-related coronavirus		HI553383	29751	20XX-XX-XX							unassigned DNA	Sequence41fromPatentEP2139515__HI553383	https://www.ncbi.nlm.nih.gov/nuccore/HI553383	Wimmer,E., Skiena,S., Mueller,S., Futcher,B., Papamichail,D., Coleman,J.R. and Cello,J.	Attenuated viruses useful for vaccines	2020-01-27
Sequence 67 from Patent WO2004011647	Severe acute respiratory syndrome-related coronavirus		CS254197	29751	20XX-XX-XX							unassigned DNA	Sequence67fromPatentWO2004011647__CS254197	https://www.ncbi.nlm.nih.gov/nuccore/CS254197	Han,J., Seo,M.Y. and Houghton,M.	Modified small interfering rna molecules and methods of use	2020-01-27
UNKNOWN-DJ045279	Severe acute respiratory syndrome-related coronavirus		DJ045279	29751	20XX-XX-XX							unassigned DNA	UNKNOWN-DJ045279__DJ045279	https://www.ncbi.nlm.nih.gov/nuccore/DJ045279	Yang,M. and Xu,M.	IMAGEABLE ANIMAL MODEL OF SARS INFECTION	2020-01-27
A022	Severe acute respiratory syndrome-related coronavirus		AY686863	29499	2004-XX-XX			Civet				genomic RNA	A022__AY686863	https://www.ncbi.nlm.nih.gov/nuccore/AY686863	Kan,B., Wang,M., Jing,H., Xu,H., Jiang,X., Yan,M., Liang,W., Zheng,H., Wan,K., Liu,Q., Cui,B., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Qi,X., Chen,K., Du,L., Gao,K., Zhao,Y.T., Zou,X.Z., Feng,Y.J., Gao,Y.F., Hai,R., Yu,D., Guan,Y. and Xu,J.	Molecular evolution analysis and geographic investigation of severe acute respiratory syndrome coronavirus-like virus in palm civets at an animal market and on farms	2020-01-27
AS	Severe acute respiratory syndrome-related coronavirus		AY427439	29711	2003-XX-XX			Human				genomic RNA	AS__AY427439	https://www.ncbi.nlm.nih.gov/nuccore/AY427439	Balotta,C., Corvasce,S., Violin,M., Galli,M., Moroni,M., Vigevani,G.M., Ruan,Y.J. and Salemi,M.	Direct Submission	2020-01-27
B039	Severe acute respiratory syndrome-related coronavirus		AY686864	29525	2004-XX-XX			Civet	palm civet			genomic RNA	B039__AY686864	https://www.ncbi.nlm.nih.gov/nuccore/AY686864	Xu,J., Kan,B., Yan,M. and Xu,Y.	Characterization of SARS-CoV like virus from animals in southern China	2020-01-27
BJ01	Severe acute respiratory syndrome-related coronavirus		AY278488	29725	2003-XX-XX			Human				genomic RNA	BJ01__AY278488	https://www.ncbi.nlm.nih.gov/nuccore/AY278488	Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Wang,J., Wang,J., Bi,S. and Yang,H.	The E protein is a multifunctional membrane protein of SARS-CoV	2020-01-27
BJ02	Severe acute respiratory syndrome-related coronavirus		AY278487	29745	2003-XX-XX			Human				genomic RNA	BJ02__AY278487	https://www.ncbi.nlm.nih.gov/nuccore/AY278487	Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Wang,J., Wang,J., Bi,S. and Yang,H.	The E protein is a multifunctional membrane protein of SARS-CoV	2020-01-27
BJ03	Severe acute respiratory syndrome-related coronavirus		AY278490	29740	20XX-XX-XX							genomic RNA	BJ03__AY278490	https://www.ncbi.nlm.nih.gov/nuccore/AY278490	Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Wang,J., Wang,J., Bi,S. and Yang,H.	The E protein is a multifunctional membrane protein of SARS-CoV	2020-01-27
BJ04	Severe acute respiratory syndrome-related coronavirus		AY279354	29732	2003-XX-XX			Human				genomic RNA	BJ04__AY279354	https://www.ncbi.nlm.nih.gov/nuccore/AY279354	Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Wang,J., Wang,J., Bi,S. and Yang,H.	The E protein is a multifunctional membrane protein of SARS-CoV	2020-01-27
BJ162	Severe acute respiratory syndrome-related coronavirus		AY864805	29751	20XX-XX-XX					China	china	genomic RNA	BJ162__AY864805	https://www.ncbi.nlm.nih.gov/nuccore/AY864805	Bao,Q.Y. and Qi,Y.	Direct Submission	2020-01-27
BJ182-12	Severe acute respiratory syndrome-related coronavirus		EU371564	29512	20XX-XX-XX							genomic RNA	BJ182-12__EU371564	https://www.ncbi.nlm.nih.gov/nuccore/EU371564	Bao,Q.Y., Wu,J.Y., Wang,S.Q. and Qi,Y.	Direct Submission	2020-01-27
BJ182-4	Severe acute respiratory syndrome-related coronavirus		EU371562	29602	20XX-XX-XX							genomic RNA	BJ182-4__EU371562	https://www.ncbi.nlm.nih.gov/nuccore/EU371562	Bao,Q.Y., Wu,J.Y., Wang,S.Q. and Qi,Y.	Direct Submission	2020-01-27
BJ182-8	Severe acute respiratory syndrome-related coronavirus		EU371563	29602	20XX-XX-XX							genomic RNA	BJ182-8__EU371563	https://www.ncbi.nlm.nih.gov/nuccore/EU371563	Bao,Q.Y., Wu,J.Y., Wang,S.Q. and Qi,Y.	Direct Submission	2020-01-27
BJ182a	Severe acute respiratory syndrome-related coronavirus		EU371560	29731	20XX-XX-XX							genomic RNA	BJ182a__EU371560	https://www.ncbi.nlm.nih.gov/nuccore/EU371560	Bao,Q.Y., Wu,J.Y., Wang,S.Q. and Qi,Y.	Direct Submission	2020-01-27
BJ182b	Severe acute respiratory syndrome-related coronavirus		EU371561	29602	20XX-XX-XX							genomic RNA	BJ182b__EU371561	https://www.ncbi.nlm.nih.gov/nuccore/EU371561	Bao,Q.Y., Wu,J.Y., Wang,S.Q. and Qi,Y.	Direct Submission	2020-01-27
