Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
E-AH187-TC	Betacoronavirus 1	FJ938064	30995	01/01/2000	Cattle	bovine	USA	genomic RNA	
E-AH65	Betacoronavirus 1	EF424615	31017	-N/A-	Cattle	bovine	USA	genomic RNA	
E-AH65-TC	Betacoronavirus 1	EF424616	30970	-N/A-	Cattle	bovine	USA	genomic RNA	
E-DB2-TC	Betacoronavirus 1	FJ938063	31024	11/30/1996	Cattle	bovine	USA	genomic RNA	
R-AH187	Betacoronavirus 1	EF424620	30964	-N/A-	Cattle	bovine	USA	genomic RNA	
R-AH65	Betacoronavirus 1	EF424617	31016	-N/A-	Cattle	bovine	USA	genomic RNA	
R-AH65-TC	Betacoronavirus 1	EF424618	30995	-N/A-	Cattle	bovine	USA	genomic RNA	
US/OH3/2006	Betacoronavirus 1	EF424624	30979	-N/A-	Giraffe	giraffe	USA	genomic RNA	
BJ232	Betacoronavirus 1	KX432213	30868	2014	Dog	dog	China	genomic RNA	
K37	Betacoronavirus 1	JX860640	31028	2008	Dog	dog	South Korea	genomic RNA	
DcCoV-HKU23/camel/Ethiopia/CAC1019/2015	Betacoronavirus 1	MN514962	31021	02/21/2015	Camel	Camelus dromedarius	Ethiopia	genomic RNA	
DcCoV-HKU23/camel/Morocco/CAC2586/2016	Betacoronavirus 1	MN514963	31062	03/05/2016	Camel	Camelus dromedarius	Morocco	genomic RNA	
DcCoV-HKU23/camel/Nigeria/NV1010/2015	Betacoronavirus 1	MN514964	30780	11/20/2015	Camel	Camelus dromedarius	Nigeria	genomic RNA	
DcCoV-HKU23/camel/Nigeria/NV1092/2015	Betacoronavirus 1	MN514965	30799	11/23/2015	Camel	Camelus dromedarius	Nigeria	genomic RNA	
DcCoV-HKU23/camel/Nigeria/NV1097/2015	Betacoronavirus 1	MN514966	31075	11/12/2015	Camel	Camelus dromedarius	Nigeria	genomic RNA	
DcCoV-HKU23/camel/Nigeria/NV1385/2016	Betacoronavirus 1	MN514967	30799	01/24/2016	Camel	Camelus dromedarius	Nigeria	genomic RNA	
HKU23-265F	Betacoronavirus 1	KF906249	31052	04/03/2013	Camel	dromedary camel	United Arab Emirates	genomic RNA	
HKU23-362F	Betacoronavirus 1	KF906250	31052	05/15/2013	Camel	dromedary camel	United Arab Emirates	genomic RNA	
HKU23-368F	Betacoronavirus 1	KF906251	31052	05/21/2013	Camel	dromedary camel	United Arab Emirates	genomic RNA	
Obihiro12-1	Betacoronavirus 1	LC061273	30916	2012	Horse	Equus caballus adult	Japan	genomic RNA	
Obihiro12-2	Betacoronavirus 1	LC061274	30916	2012	Horse	Equus caballus adult	Japan	genomic RNA	
Tokachi09	Betacoronavirus 1	LC061272	30782	2009	Horse	Equus caballus adult	Japan	genomic RNA	
US/OH3-TC/2006	Betacoronavirus 1	EF424622	30979	-N/A-	Giraffe	giraffe	USA	genomic RNA	
US/OH3/2003	Betacoronavirus 1	EF424623	31002	-N/A-	Giraffe	giraffe	USA	genomic RNA	
10108/2010	Betacoronavirus 1	KF923918	30713	05/2010	Human	Homo sapiens	China	genomic RNA	
10285/2010	Betacoronavirus 1	KF923895	30731	07/2010	Human	Homo sapiens	China	genomic RNA	
10290/2010	Betacoronavirus 1	KF923924	30713	07/2010	Human	Homo sapiens	China	genomic RNA	
10574/2010	Betacoronavirus 1	KF923925	30713	09/2010	Human	Homo sapiens	China	genomic RNA	
12689/2012	Betacoronavirus 1	KF923902	30713	05/2012	Human	Homo sapiens	China	genomic RNA	
12691/2012	Betacoronavirus 1	KF923903	30713	05/2012	Human	Homo sapiens	China	genomic RNA	
12694/2012	Betacoronavirus 1	KF923904	30713	05/2012	Human	Homo sapiens	China	genomic RNA	
1783A/10	Betacoronavirus 1	KP198611	30752	01/2010	Human	Homo sapiens	China	genomic RNA	
1908A/2010	Betacoronavirus 1	KF923886	30719	03/2010	Human	Homo sapiens	China	genomic RNA	
1926/2006	Betacoronavirus 1	KF923889	30719	03/2006	Human	Homo sapiens	China	genomic RNA	
1997A/2010	Betacoronavirus 1	KF923887	30719	04/2010	Human	Homo sapiens	China	genomic RNA	
2002-04	Betacoronavirus 1	KY014281	30602	2002	Human	Homo sapiens	France	genomic RNA	
2007-09	Betacoronavirus 1	KY014282	30659	2007	Human	Homo sapiens	France	genomic RNA	
2058A/10	Betacoronavirus 1	KP198610	30752	06/2010	Human	Homo sapiens	China	genomic RNA	
2145A/2010	Betacoronavirus 1	KF923888	30719	07/2010	Human	Homo sapiens	China	genomic RNA	
2151A/2010	Betacoronavirus 1	KF923893	30713	07/2010	Human	Homo sapiens	China	genomic RNA	
229/2005	Betacoronavirus 1	KF923905	30722	06/2005	Human	Homo sapiens	China	genomic RNA	
3074A/2012	Betacoronavirus 1	KF923896	30737	02/2012	Human	Homo sapiens	China	genomic RNA	
3184A/2012	Betacoronavirus 1	KF923898	30716	03/2012	Human	Homo sapiens	China	genomic RNA	
3194A/2012	Betacoronavirus 1	KF923906	30737	03/2012	Human	Homo sapiens	China	genomic RNA	
3269A/2012	Betacoronavirus 1	KF923897	30711	06/2012	Human	Homo sapiens	China	genomic RNA	
3582/2006	Betacoronavirus 1	KF923899	30722	09/2006	Human	Homo sapiens	China	genomic RNA	
3647/2006	Betacoronavirus 1	KF923900	30722	10/2006	Human	Homo sapiens	China	genomic RNA	
39A/2007	Betacoronavirus 1	KF923890	30713	04/2007	Human	Homo sapiens	China	genomic RNA	
5240/2007	Betacoronavirus 1	KF923891	30713	05/2007	Human	Homo sapiens	China	genomic RNA	
5345/2007	Betacoronavirus 1	KF923892	30713	05/2007	Human	Homo sapiens	China	genomic RNA	
5352/2007	Betacoronavirus 1	KF923894	30713	05/2007	Human	Homo sapiens	China	genomic RNA	
5370/2007	Betacoronavirus 1	KF923907	30713	05/2007	Human	Homo sapiens	China	genomic RNA	
5414/2007	Betacoronavirus 1	KF923908	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5442/2007	Betacoronavirus 1	KF923909	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5445/2007	Betacoronavirus 1	KF923910	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5472/2007	Betacoronavirus 1	KF923901	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5479/2007	Betacoronavirus 1	KF923911	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5484/2007	Betacoronavirus 1	KF923912	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5485/2007	Betacoronavirus 1	KF923913	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5508/2007	Betacoronavirus 1	KF923914	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5517/2007	Betacoronavirus 1	KF923915	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5519/2007	Betacoronavirus 1	KF923916	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5566/2007	Betacoronavirus 1	KF923917	30713	06/2007	Human	Homo sapiens	China	genomic RNA	
5595/2007	Betacoronavirus 1	KF923919	30713	07/2007	Human	Homo sapiens	China	genomic RNA	
5617/2007	Betacoronavirus 1	KF923920	30713	07/2007	Human	Homo sapiens	China	genomic RNA	
69A/2007	Betacoronavirus 1	KF923921	30713	05/2007	Human	Homo sapiens	China	genomic RNA	
8164/2009	Betacoronavirus 1	KF923922	30713	03/2009	Human	Homo sapiens	China	genomic RNA	
892A/2008	Betacoronavirus 1	KF923923	30713	10/2008	Human	Homo sapiens	China	genomic RNA	
ATCC VR-759	Betacoronavirus 1	NC_006213*	30741	-N/A-	Unknown	-N/A-	USA	genomic RNA	
BJ-112	Betacoronavirus 1	MG197709	30550	04/22/2015	Unknown	-N/A-	China	genomic RNA	
BJ-124	Betacoronavirus 1	MG197710	30544	05/06/2015	Unknown	-N/A-	China	genomic RNA	
BJ-164	Betacoronavirus 1	MG197711	30544	06/09/2015	Unknown	-N/A-	China	genomic RNA	
BJ-165	Betacoronavirus 1	MG197712	30497	06/09/2015	Unknown	-N/A-	China	genomic RNA	
BJ-221	Betacoronavirus 1	MG197713	30495	08/14/2015	Unknown	-N/A-	China	genomic RNA	
CC-23	Betacoronavirus 1	MG197714	30551	07/13/2015	Unknown	-N/A-	China	genomic RNA	
GZYF-26	Betacoronavirus 1	MG197715	30530	05/21/2015	Unknown	-N/A-	China	genomic RNA	
HCoV-OC43/UK/London/2011	Betacoronavirus 1	KU131570	30746	08/20/2011	Human	Homo sapiens	United Kingdom	genomic RNA	
HCoV-OC43/USA/ACRI_0052/2016	Betacoronavirus 1	MF314143	30737	03/07/2016	Human	Homo sapiens	USA	genomic RNA	
HCoV-OC43/USA/ACRI_0213/2016	Betacoronavirus 1	MH121121	30722	12/19/2016	Human	Homo sapiens	USA	genomic RNA	
HCoV-OC43/USA/TCNP_00204/2017	Betacoronavirus 1	MF374984	30713	01/03/2017	Human	Homo sapiens	USA	genomic RNA	
HCoV-OC43/USA/TCNP_00212/2017	Betacoronavirus 1	MF374985	30705	01/17/2017	Human	Homo sapiens	USA	genomic RNA	
HCoV-OC43/USA/TCNP_0070/2016	Betacoronavirus 1	MF374983	30721	02/01/2016	Human	Homo sapiens	USA	genomic RNA	
HK04-02	Betacoronavirus 1	JN129835	30722	11/2004	Human	Homo sapiens	China	genomic RNA	
HZ-459	Betacoronavirus 1	MG197723	30566	06/20/2016	Unknown	-N/A-	China	genomic RNA	
LY341	Betacoronavirus 1	KJ958218	30714	10/03/2011	Human	Homo sapiens; sex:F; age:15Y	China	genomic RNA	
LY342	Betacoronavirus 1	KJ958219	30714	10/04/2011	Human	Homo sapiens; sex:M; age:34Y	China	genomic RNA	
MDS11	Betacoronavirus 1	MK303622	30665	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MDS12	Betacoronavirus 1	MK303623	30419	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MDS14	Betacoronavirus 1	MK303624	30664	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MDS16	Betacoronavirus 1	MK303625	30668	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MDS2	Betacoronavirus 1	MK303620	30665	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MDS4	Betacoronavirus 1	MK303621	30664	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MDS6	Betacoronavirus 1	MK303619	30664	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MY-U002/12	Betacoronavirus 1	KX538964	30713	02/22/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U1024/12	Betacoronavirus 1	KX538975	30716	08/24/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U1057/12	Betacoronavirus 1	KX538976	30713	08/27/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U1140/12	Betacoronavirus 1	KX538977	30716	09/10/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U1758/13	Betacoronavirus 1	KX538978	30713	01/02/2013	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U1975/13	Betacoronavirus 1	KX538979	30713	02/15/2013	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U208/12	Betacoronavirus 1	KX538965	30716	03/28/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U236/12	Betacoronavirus 1	KX538966	30713	04/02/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U413/12	Betacoronavirus 1	KX538967	30716	05/02/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U464/12	Betacoronavirus 1	KX538968	30716	05/09/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U523/12	Betacoronavirus 1	KX538969	30716	05/18/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U710/12	Betacoronavirus 1	KX538970	30713	06/20/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U732/12	Betacoronavirus 1	KX538971	30716	06/25/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U774/12	Betacoronavirus 1	KX538972	30713	07/04/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U868/12	Betacoronavirus 1	KX538973	30716	07/16/2012	Human	Homo sapiens	Malaysia	genomic RNA	
MY-U945/12	Betacoronavirus 1	KX538974	30716	08/01/2012	Human	Homo sapiens	Malaysia	genomic RNA	
N07-1541B_433X	Betacoronavirus 1	KY554972	30710	2016	Human	Homo sapiens	USA	genomic RNA	
N07-1609B	Betacoronavirus 1	KY674917	30536	2016	Human	Homo sapiens	USA	genomic RNA	
N07-1647B	Betacoronavirus 1	KY674918	30550	2016	Human	Homo sapiens	USA	genomic RNA	
N07-1689B_116X	Betacoronavirus 1	KY554973	30713	2016	Human	Homo sapiens	USA	genomic RNA	
N08-33B_360X	Betacoronavirus 1	KY554974	30713	2016	Human	Homo sapiens	USA	genomic RNA	
N09-382B	Betacoronavirus 1	KY554975	30669	2016	Human	Homo sapiens	USA	genomic RNA	
N09-595B	Betacoronavirus 1	KY674920	30581	2016	Human	Homo sapiens	USA	genomic RNA	
OC43/human/Mex/LRTI_238/2011	Betacoronavirus 1	KX344031	30713	02/09/2011	Human	Homo sapiens; age: 2 months; sex: male	Mexico	genomic RNA	
OC43/human/USA/007-11/2000	Betacoronavirus 1	KF530068	30572	07/27/2000	Human	Homo sapiens; sex: M; age: 21Y	USA	genomic RNA	
OC43/human/USA/008-5/2000	Betacoronavirus 1	KF530092	30577	08/08/2000	Human	Homo sapiens; sex: F; age: 29Y	USA	genomic RNA	
OC43/human/USA/851-15/1985	Betacoronavirus 1	KF530060	30577	01/08/1985	Human	Homo sapiens; sex: M; age: 15Y	USA	genomic RNA	
OC43/human/USA/871-25/1987	Betacoronavirus 1	KF530085	30569	01/22/1987	Human	Homo sapiens; sex: M; age: 25Y	USA	genomic RNA	
OC43/human/USA/872-5/1987	Betacoronavirus 1	KF530086	30577	02/10/1987	Human	Homo sapiens; sex: M; age: 20Y	USA	genomic RNA	
OC43/human/USA/873-16/1987	Betacoronavirus 1	KF530077	30577	03/12/1987	Human	Homo sapiens; sex: F; age: 27Y	USA	genomic RNA	
OC43/human/USA/873-19/1987	Betacoronavirus 1	KF530083	30577	03/17/1987	Human	Homo sapiens; sex: F; age: 21Y	USA	genomic RNA	
OC43/human/USA/873-6/1987	Betacoronavirus 1	KF530087	30577	03/05/1987	Human	Homo sapiens; sex: M; age: 6Y	USA	genomic RNA	
OC43/human/USA/8912-37/1989	Betacoronavirus 1	KF530073	30577	12/21/1989	Human	Homo sapiens; sex: M; age: 9Y	USA	genomic RNA	
OC43/human/USA/901-33/1990	Betacoronavirus 1	KF530066	30564	01/16/1990	Human	Homo sapiens; sex: M; age: 12Y	USA	genomic RNA	
OC43/human/USA/901-41/1990	Betacoronavirus 1	KF530065	30577	01/17/1990	Human	Homo sapiens; sex: M; age: 17Y	USA	genomic RNA	
OC43/human/USA/901-43/1990	Betacoronavirus 1	KF530061	30577	01/19/1990	Human	Homo sapiens; sex: F; age: 43Y	USA	genomic RNA	
OC43/human/USA/901-54/1990	Betacoronavirus 1	KF530088	30578	01/23/1990	Human	Homo sapiens; sex: M; age: 7Y	USA	genomic RNA	
OC43/human/USA/911-11/1991	Betacoronavirus 1	KF530076	30606	01/03/1991	Human	Homo sapiens; sex: F; age: 11Y	USA	genomic RNA	
OC43/human/USA/911-38/1991	Betacoronavirus 1	KF530096	30589	01/15/1991	Human	Homo sapiens; sex: F; age: 4Y	USA	genomic RNA	
OC43/human/USA/911-58/1991	Betacoronavirus 1	KF530091	30606	01/24/1991	Human	Homo sapiens; sex: F; age: 3Y	USA	genomic RNA	
OC43/human/USA/911-66/1991	Betacoronavirus 1	KF530089	30611	01/29/1991	Human	Homo sapiens; sex: F; age: 15Y	USA	genomic RNA	
OC43/human/USA/912-10/1991	Betacoronavirus 1	KF530067	30608	02/07/1991	Human	Homo sapiens; sex: M; age: 43Y	USA	genomic RNA	
OC43/human/USA/912-11/1991	Betacoronavirus 1	KF530082	30581	02/07/1991	Human	Homo sapiens; sex: F; age: 7Y	USA	genomic RNA	
OC43/human/USA/912-36/1991	Betacoronavirus 1	KF530094	30581	02/22/1991	Human	Homo sapiens; sex: M; age: 11Y	USA	genomic RNA	
OC43/human/USA/912-6/1991	Betacoronavirus 1	KF530095	30602	02/05/1991	Human	Homo sapiens; sex: M; age: 5Y	USA	genomic RNA	
OC43/human/USA/913-29/1991	Betacoronavirus 1	KF530079	30581	03/14/1991	Human	Homo sapiens; sex: M; age: 9Y	USA	genomic RNA	
OC43/human/USA/9211-43/1992	Betacoronavirus 1	KF530097	30577	11/30/1992	Human	Homo sapiens; sex: M; age: 18Y	USA	genomic RNA	
OC43/human/USA/9212-33/1992	Betacoronavirus 1	KF530074	30590	12/16/1992	Human	Homo sapiens; sex: F; age: 32Y	USA	genomic RNA	
OC43/human/USA/925-1/1992	Betacoronavirus 1	KF530071	30578	05/04/1992	Human	Homo sapiens; sex: M; age: 34Y	USA	genomic RNA	
OC43/human/USA/931-85/1993	Betacoronavirus 1	KF530090	30577	01/26/1993	Human	Homo sapiens; sex: F; age: 21Y	USA	genomic RNA	
OC43/human/USA/951-18/1995	Betacoronavirus 1	KF530084	30577	01/12/1995	Human	Homo sapiens; sex: F; age: 10Y	USA	genomic RNA	
OC43/human/USA/953-23/1995	Betacoronavirus 1	KF530075	30577	03/09/1995	Human	Homo sapiens; sex: F; age: 12Y	USA	genomic RNA	
OC43/human/USA/9612-29/1996	Betacoronavirus 1	KF530078	30568	12/17/1996	Human	Homo sapiens; sex: F; age: 48Y	USA	genomic RNA	
OC43/human/USA/9612-48/1996	Betacoronavirus 1	KF530063	30577	12/30/1996	Human	Homo sapiens; sex: M; age: 50Y	USA	genomic RNA	
OC43/human/USA/9612-9/1996	Betacoronavirus 1	KF530064	30577	12/04/1996	Human	Homo sapiens; sex: F; age: 18Y	USA	genomic RNA	
OC43/human/USA/965-6/1996	Betacoronavirus 1	KF530098	30578	05/10/1996	Human	Homo sapiens; sex: F; age: 7Y	USA	genomic RNA	
OC43/human/USA/971-5/1997	Betacoronavirus 1	KF530099	30578	01/02/1997	Human	Homo sapiens; sex: F; age: 59Y	USA	genomic RNA	
OC43/human/USA/9712-13/1997	Betacoronavirus 1	KF530072	30577	12/11/1997	Human	Homo sapiens; sex: M; age: 19Y	USA	genomic RNA	
OC43/human/USA/9712-31/1997	Betacoronavirus 1	KF530080	30577	12/18/1997	Human	Homo sapiens; sex: M; age: 6Y	USA	genomic RNA	
OC43/human/USA/982-4/1998	Betacoronavirus 1	KF530069	30578	02/05/1998	Human	Homo sapiens; sex: F; age: 6Y	USA	genomic RNA	
OC43/human/USA/991-19/1999	Betacoronavirus 1	KF530070	30573	01/15/1999	Human	Homo sapiens; sex: M; age: 19Y	USA	genomic RNA	
OC43/human/USA/991-5/1999	Betacoronavirus 1	KF530081	30571	01/07/1999	Human	Homo sapiens; sex: F; age: 11Y	USA	genomic RNA	
OC43_KLF_01_2018	Betacoronavirus 1	MN026164	30777	01/18/2018	Human	Homo sapiens	Kenya	genomic RNA	
SC0682	Betacoronavirus 1	MN306036	30681	2019	Human	Homo sapiens	USA	genomic RNA	
SC0776	Betacoronavirus 1	MN310478	30681	2019	Human	Homo sapiens	USA	genomic RNA	
SC0810	Betacoronavirus 1	MN306041	30717	2019	Human	Homo sapiens	USA	genomic RNA	
SC0839	Betacoronavirus 1	MN306042	30723	2019	Human	Homo sapiens	USA	genomic RNA	
SC0841	Betacoronavirus 1	MN306043	30716	2019	Human	Homo sapiens	USA	genomic RNA	
SC2269	Betacoronavirus 1	KY684759	30656	2016	Human	Homo sapiens	USA	genomic RNA	
SC2345	Betacoronavirus 1	KY967361	30661	2015	Human	Homo sapiens	USA	genomic RNA	
SC2476	Betacoronavirus 1	KY967360	30674	2015	Human	Homo sapiens	USA	genomic RNA	
SC2481	Betacoronavirus 1	KY983583	30668	2015	Human	Homo sapiens	USA	genomic RNA	
SC2730	Betacoronavirus 1	KY967359	30670	2015	Human	Homo sapiens	USA	genomic RNA	
SC2770	Betacoronavirus 1	KY967358	30670	2015	Human	Homo sapiens	USA	genomic RNA	
SC2854	Betacoronavirus 1	KY983585	30659	2015	Human	Homo sapiens	USA	genomic RNA	
SC2924	Betacoronavirus 1	KY967356	30648	2015	Human	Homo sapiens	USA	genomic RNA	
SC3118	Betacoronavirus 1	KY983588	30562	2015	Human	Homo sapiens	USA	genomic RNA	
SC622	Betacoronavirus 1	KY369906	30689	2016	Human	Homo sapiens	USA	genomic RNA	
SC831	Betacoronavirus 1	KY369905	30581	2016	Human	Homo sapiens	USA	genomic RNA	
SC9428	Betacoronavirus 1	MN310476	30562	2019	Human	Homo sapiens	USA	genomic RNA	
SC9430	Betacoronavirus 1	MN306053	30818	2019	Human	Homo sapiens	USA	genomic RNA	
SC9741	Betacoronavirus 1	KY369907	30725	2016	Human	Homo sapiens	USA	genomic RNA	
TNP 12636	Betacoronavirus 1	MG977451	30722	12/10/2016	Human	Homo sapiens	Cote dIvoire	genomic RNA	
TNP 12643	Betacoronavirus 1	MG977452	30704	12/10/2016	Human	Homo sapiens	Cote dIvoire	genomic RNA	
TNP F1778_2	Betacoronavirus 1	MG977444	30571	01/04/2017	Chimpanzee	Pan troglodytes verus	Cote dIvoire	genomic RNA	
TNP F1790_2	Betacoronavirus 1	MG977445	30677	12/31/2016	Chimpanzee	Pan troglodytes verus	Cote dIvoire	genomic RNA	
TNP F1832_2	Betacoronavirus 1	MG977447	30705	12/26/2016	Chimpanzee	Pan troglodytes verus	Cote dIvoire	genomic RNA	
TNP F1834_2	Betacoronavirus 1	MG977449	30721	12/28/2016	Chimpanzee	Pan troglodytes verus	Cote dIvoire	genomic RNA	
WZ-303	Betacoronavirus 1	MG197716	30515	06/06/2015	Unknown	-N/A-	China	genomic RNA	
WZ-522	Betacoronavirus 1	MG197717	30524	07/06/2015	Unknown	-N/A-	China	genomic RNA	
YC-207	Betacoronavirus 1	MG197722	30515	12/02/2015	Unknown	-N/A-	China	genomic RNA	
YC-55	Betacoronavirus 1	MG197718	30538	03/12/2015	Unknown	-N/A-	China	genomic RNA	
YC-67	Betacoronavirus 1	MG197719	30499	06/04/2015	Unknown	-N/A-	China	genomic RNA	
YC-68	Betacoronavirus 1	MG197720	30567	06/05/2015	Unknown	-N/A-	China	genomic RNA	
YC-72	Betacoronavirus 1	MG197721	30521	06/13/2015	Unknown	-N/A-	China	genomic RNA	
CC14	Betacoronavirus 1	MF083115	30682	03/2014	Swine	Sus scrofa	China	genomic RNA	
JL/2008	Betacoronavirus 1	KY994645	30684	08/21/2008	Swine	piglet	China	genomic RNA	
PHEV CoV USA-15TOSU0331	Betacoronavirus 1	KY419104	30530	08/15/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU0582	Betacoronavirus 1	KY419105	30513	08/20/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU1209	Betacoronavirus 1	KY419107	29866	07/25/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU1362	Betacoronavirus 1	KY419110	30515	08/12/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU1582	Betacoronavirus 1	KY419113	29900	07/25/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU1655	Betacoronavirus 1	KY419109	29906	08/01/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU1727	Betacoronavirus 1	KY419111	29866	08/08/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU1765	Betacoronavirus 1	KY419112	30531	08/01/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU1785	Betacoronavirus 1	KY419106	29866	08/15/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU24992	Betacoronavirus 1	KY419108	751	10/03/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
PHEV CoV USA-15TOSU25049	Betacoronavirus 1	KY419103	30632	09/15/2015	Swine	Sus scrofa scrofa	USA	genomic RNA	
US/OH1/2003	Betacoronavirus 1	EF424621	30995	-N/A-	Antelope	antelope	USA	genomic RNA	
UNKNOWN-FJ425188	Betacoronavirus 1	FJ425188	30995	01/01/1994	Deer	sambar deer	USA	genomic RNA	
UNKNOWN-FJ425190	Betacoronavirus 1	FJ425190	30987	01/01/1994	Deer	sambar deer	USA	genomic RNA	
UNKNOWN-FJ425189	Betacoronavirus 1	FJ425189	30997	01/01/1994	Deer	sambar deer	USA	genomic RNA	
W17-18	Betacoronavirus 1	MG518518	31034	02/24/2017	Unknown	Hydropotes inermis (water deer)	South Korea	genomic RNA	
UNKNOWN-FJ425185	Betacoronavirus 1	FJ425185	30940	01/01/1994	Antelope	waterbuck	USA	genomic RNA	
UNKNOWN-FJ425184	Betacoronavirus 1	FJ425184	30995	01/01/1994	Antelope	waterbuck	USA	genomic RNA	
UNKNOWN-FJ425186	Betacoronavirus 1	FJ425186	30962	01/01/1994	Antelope	waterbuck	USA	genomic RNA	
UNKNOWN-FJ425187	Betacoronavirus 1	FJ425187	31020	01/01/1994	Deer	white-tailed deer	USA	genomic RNA	
YAK/HY24/CH/2017	Betacoronavirus 1	MH810163	31032	2017	Yak	yak	China	genomic RNA	
BCoV-ENT	Betacoronavirus 1	AF391541	31028	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
BCoV-LUN	Betacoronavirus 1	AF391542	31028	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Kakegawa	Betacoronavirus 1	AB354579	31038	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
