Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
Kilifi_HH_3807_11-May-2010	Human coronavirus NL63	MG428702	27781	05/11/2010	Human	Homo sapiens	Kenya	genomic RNA	
Kilifi_HH_3808_24-May-2010	Human coronavirus NL63	MG428706	27637	05/24/2010	Human	Homo sapiens	Kenya	genomic RNA	
Kilifi_HH_5402_20-May-2010	Human coronavirus NL63	MG428704	27832	05/20/2010	Human	Homo sapiens	Kenya	genomic RNA	
Kilifi_HH_5709_19-May-2010	Human coronavirus NL63	MG428699	27513	05/19/2010	Human	Homo sapiens	Kenya	genomic RNA	
N06-1144B	Human coronavirus NL63	KY554967	27523	2016	Human	Homo sapiens	USA	genomic RNA	
N07-185B	Human coronavirus NL63	KY554968	27523	2016	Human	Homo sapiens	USA	genomic RNA	
N07-196B	Human coronavirus NL63	KY554969	27509	2016	Human	Homo sapiens	USA	genomic RNA	
N07-262B	Human coronavirus NL63	KY829118	27513	2015	Human	Homo sapiens	USA	genomic RNA	
N07-324B_182X	Human coronavirus NL63	KY554970	27540	2016	Human	Homo sapiens	USA	genomic RNA	
N07-468B_176X	Human coronavirus NL63	KY554971	27550	2016	Human	Homo sapiens	USA	genomic RNA	
N07-64B	Human coronavirus NL63	KY674916	27492	2016	Human	Homo sapiens	USA	genomic RNA	
N07-6B	Human coronavirus NL63	KY674915	27302	2016	Human	Homo sapiens	USA	genomic RNA	
NL63/DEN/2005/1062	Human coronavirus NL63	JQ765573	27487	04/12/2005	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2005/1120	Human coronavirus NL63	JQ900260	27459	04/25/2005	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2005/1862	Human coronavirus NL63	JQ765574	27487	11/2005	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2005/1876	Human coronavirus NL63	JQ765575	27487	11/21/2005	Human	Homo sapiens; sex: F	USA	genomic RNA	
NL63/DEN/2005/193	Human coronavirus NL63	JQ765568	27487	01/11/2005	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2005/232	Human coronavirus NL63	JQ765569	27469	01/18/2005	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2005/235	Human coronavirus NL63	JQ765570	27469	01/19/2005	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2005/271	Human coronavirus NL63	JQ765571	27487	01/23/2005	Human	Homo sapiens; sex: F	USA	genomic RNA	
NL63/DEN/2005/291	Human coronavirus NL63	JQ900258	27383	01/26/2005	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2005/347	Human coronavirus NL63	JQ765572	27487	02/01/2005	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2005/449	Human coronavirus NL63	JQ900259	27502	02/09/2005	Human	Homo sapiens; sex: F	USA	genomic RNA	
NL63/DEN/2008/16	Human coronavirus NL63	JQ765566	27487	01/08/2008	Human	Homo sapiens; sex: F	USA	genomic RNA	
NL63/DEN/2009/14	Human coronavirus NL63	JQ765564	27469	03/01/2009	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2009/15	Human coronavirus NL63	JQ765565	27469	02/13/2009	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2009/20	Human coronavirus NL63	JQ765567	27487	03/12/2009	Human	Homo sapiens; sex: F	USA	genomic RNA	
NL63/DEN/2009/22	Human coronavirus NL63	JQ900256	27455	03/03/2009	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2009/31	Human coronavirus NL63	JQ900257	27456	02/21/2009	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2009/6	Human coronavirus NL63	JQ900255	27485	02/25/2009	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/DEN/2009/9	Human coronavirus NL63	JQ765563	27469	03/16/2009	Human	Homo sapiens; sex: M	USA	genomic RNA	
NL63/human/USA/0111-25/2001	Human coronavirus NL63	KF530112	27395	11/21/2001	Human	Homo sapiens; sex: M; age: 8Y	USA	genomic RNA	
NL63/human/USA/012-31/2001	Human coronavirus NL63	KF530105	27413	02/23/2001	Human	Homo sapiens; sex: F; age: 13Y	USA	genomic RNA	
NL63/human/USA/838-9/1983	Human coronavirus NL63	KF530110	27413	08/16/1983	Human	Homo sapiens; sex: F; age: 6Y	USA	genomic RNA	
NL63/human/USA/8712-17/1987	Human coronavirus NL63	KF530106	27401	12/16/1987	Human	Homo sapiens; sex: M; age: 35Y	USA	genomic RNA	
NL63/human/USA/891-4/1989	Human coronavirus NL63	KF530114	27410	01/03/1989	Human	Homo sapiens; sex: F; age: 15Y	USA	genomic RNA	
NL63/human/USA/891-6/1989	Human coronavirus NL63	KF530108	27410	01/05/1989	Human	Homo sapiens; sex: F; age: 6Y	USA	genomic RNA	
NL63/human/USA/901-24/1990	Human coronavirus NL63	KF530111	27410	01/05/1990	Human	Homo sapiens; sex: M; age: 9Y	USA	genomic RNA	
NL63/human/USA/903-28/1990	Human coronavirus NL63	KF530109	27410	03/21/1990	Human	Homo sapiens; sex: M; age: 5Y	USA	genomic RNA	
NL63/human/USA/904-20/1990	Human coronavirus NL63	KF530104	27410	04/26/1990	Human	Homo sapiens; sex: M; age: 5Y	USA	genomic RNA	
NL63/human/USA/905-25/1990	Human coronavirus NL63	KF530113	27410	05/29/1990	Human	Homo sapiens; sex: F; age: 19Y	USA	genomic RNA	
NL63/human/USA/911-56/1991	Human coronavirus NL63	KF530107	27410	01/24/1991	Human	Homo sapiens; sex: F; age: 9Y	USA	genomic RNA	
NL63/RPTEC/2004	Human coronavirus NL63	JX504050	27553	2004	Human	Homo sapiens	USA	genomic RNA	
NL63/UF-1/2015	Human coronavirus NL63	KT381875	27553	2015	Human	Homo sapiens	USA	viral cRNA	
NL63/UF-2/2015	Human coronavirus NL63	KU521535	27553	09/01/2015	Human	Homo sapiens	USA	viral cRNA	
NL63/UF-2/2015	Human coronavirus NL63	KX179500	27553	09/2015	Human	Homo sapiens	USA	viral cRNA	
SC0179	Human coronavirus NL63	MN306018	27484	2018	Human	Homo sapiens	USA	genomic RNA	
SC0768	Human coronavirus NL63	MN306040	27537	2019	Human	Homo sapiens	USA	genomic RNA	
SC2940	Human coronavirus NL63	KY983586	27489	2015	Human	Homo sapiens	USA	genomic RNA	
UNKNOWN-CS124012	Human coronavirus NL63	CS124012	27553	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-DJ009246	Human coronavirus NL63	DJ009246	27553	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-AY518894	Human coronavirus NL63	AY518894	27555	-N/A-	Unknown	-N/A-	Netherlands	genomic RNA	
